Site Identifier,Site Type,LAT Trimmed,LON Trimmed,Formatted_Address,City,Suburb,Postcode
334,Openserve Property,-29.93,30.97,"Barrier Lane, Mobeni East, Durban, 4061, South Africa",Durban,Mobeni East,4061
23,Openserve Property,-27.46,23.43,"Duiker Road, Ga-Segonyana Ward 1, Ga-Segonyana Local Municipality, 8461, South Africa",Ga-Segonyana Local Municipality,Ga-Segonyana Ward 1,8461
486,Openserve Property,-29.09,26.25,"2 Rotterdam Street, Mangaung Ward 44, Bloemfontein, 9313, South Africa",Bloemfontein,Mangaung Ward 44,9313
1608,Openserve Property,-25.01,28,"unnamed road, Mnukubyane, Moretele Local Municipality, South Africa",Moretele Local Municipality,Mnukubyane,N/A
440,Openserve Property,-29.82,30.84,"Hepplewhite Road, Ashley, KwaZulu-Natal, 3608, South Africa",N/A,Ashley,3608
1721,Openserve Property,-26.57,27.94,"12 Nadia Street, Vereeniging, South Africa",Vereeniging,N/A,
141,Openserve Property,-33.95,25.56,"95 Hord Street, Port Elizaberth, South Africa",Port Elizaberth,N/A,
333,Openserve Property,-29.93,30.92,"591 Pasadena Crescent, Chatsworth, South Africa",Chatsworth,N/A,
426,Openserve Property,-29.96,30.85,"Street, Umlazi, South Africa",Umlazi,N/A,
322,Openserve Property,-29.88,30.92,"4 Purity Lane, Queensburgh, South Africa",Queensburgh,N/A,
314,Openserve Property,-29.44,30.1,"Lidgetton West, South Africa",Lidgetton West,N/A,
1416,Openserve Property,-25.77,28.28,"82 Clearwater Road, Lynnwood Glen, Pretoria, 0081, South Africa",Pretoria,Lynnwood Glen,0081
